date,sector,sentiment_compound,base_sentiment_compound,sentiment_pos,sentiment_neu,sentiment_neg,total_headlines,tickers_with_news,ticker_count,coverage_rate,sentiment_score_0_100,finance_lexicon_effect,sentiment_lag1,sentiment_score_lag1,sentiment_z_full_sample,sentiment_signal_z,sentiment_21d_avg,sentiment_score_21d_avg
2020-10-28,Healthcare,0.016183333333333348,-0.008314666666666665,0.07477333333333333,0.8636266666666668,0.0616,23,5,5,1.0,50.80916666666667,0.024498000000000013,0.07732285714285715,53.86614285714286,-0.8620222791203205,-0.2805649568053637,0.06825768576661434,53.412884288330716
2020-10-29,Healthcare,0.21509266666666668,0.20504466666666668,0.15145333333333336,0.8021799999999999,0.04631666666666666,19,5,5,1.0,60.75463333333333,0.010048000000000001,0.016183333333333348,50.80916666666667,1.1778302901776025,-0.8349623859130024,0.06709519370312228,53.35475968515611
2020-10-30,Healthcare,0.04858272727272727,0.036375454545454544,0.07650909090909092,0.8982909090909091,0.0252,15,4,5,0.8,52.42913636363637,0.012207272727272726,0.21509266666666668,60.75463333333333,-0.5297604095366831,0.9765248702941066,0.06926333944626802,53.4631669723134
2020-11-02,Healthcare,0.06512555555555556,0.06512555555555556,0.08176666666666668,0.889018253968254,0.029215079365079367,22,4,5,0.8,53.25627777777778,0.0,0.04858272727272727,52.42913636363637,-0.36011059868727624,-0.5422088395181015,0.07622931828224686,53.81146591411235
2020-11-03,Healthcare,0.10387733333333334,0.10387733333333334,0.06337333333333334,0.9366266666666666,0.0,10,4,5,0.8,55.19386666666667,0.0,0.06512555555555556,53.25627777777778,0.037296160161959004,-0.3898394031911177,0.0766303553192839,53.83151776596419
2020-11-04,Healthcare,0.18835777777777776,0.18835777777777776,0.12918888888888888,0.8676555555555556,0.003155555555555555,13,3,5,0.6,59.41788888888889,0.0,0.10387733333333334,55.19386666666667,0.9036589837034908,-0.03461082703842209,0.08207151934044792,54.1035759670224
2020-11-05,Healthcare,0.04798,0.047150000000000004,0.0757,0.8840666666666668,0.04023333333333333,11,4,5,0.8,52.398999999999994,0.0008299999999999974,0.18835777777777776,59.41788888888889,-0.5359414909130824,0.7387629074348669,0.07608843544022117,53.80442177201106
2020-11-06,Healthcare,0.04215,0.0,0.0219,0.9781000000000001,0.0,3,2,5,0.4,52.107499999999995,0.04215,0.04798,52.398999999999994,-0.5957292358102896,-0.5504698176385471,0.07738899099577672,53.86944954978883
2020-11-09,Healthcare,0.20935333333333334,0.20935333333333334,0.21418333333333334,0.7683666666666668,0.01745,11,5,5,1.0,60.467666666666666,0.0,0.04215,52.107499999999995,1.1189723489746226,-0.602260491192685,0.0918218163926021,54.59109081963011
2020-11-10,Healthcare,0.212596,0.212596,0.15894,0.81966,0.021400000000000002,10,5,5,1.0,60.6298,0.0,0.20935333333333334,60.467666666666666,1.1522265046269973,0.9360333903030125,0.09964579258307829,54.98228962915391
2020-11-11,Healthcare,0.0,0.0,0.0,1.0,0.0,4,3,5,0.6,50.0,0.0,0.212596,60.6298,-1.0279854017480743,0.9616797616096562,0.10212103067831639,55.106051533915824
2020-11-12,Healthcare,-0.01531,-0.01531,0.0177,0.961,0.0213,3,2,5,0.4,49.2345,0.0,0.0,50.0,-1.1849923270270182,-0.9957173526966795,0.0961117925830783,54.805589629153914
2020-11-13,Healthcare,0.17160000000000003,0.17160000000000003,0.11610000000000001,0.8839,0.0,4,3,5,0.6,58.58,0.0,-0.01531,49.2345,0.7318048254150066,-1.1311024034407609,0.09341877671006242,54.670938835503115
2020-11-16,Healthcare,0.029619000000000006,0.029619000000000006,0.12262999999999999,0.76556,0.11180999999999999,21,5,5,1.0,51.48095,0.0,0.17160000000000003,58.58,-0.7242369941819712,0.5908884283189753,0.09470803312031884,54.73540165601595
2020-11-17,Healthcare,0.025965000000000005,0.025965000000000005,0.08259999999999999,0.8623,0.055099999999999996,10,4,5,0.8,51.29825,0.0,0.029619000000000006,51.48095,-0.7617094504177165,-0.7180178207574582,0.08846406486635058,54.42320324331753
2020-11-18,Healthcare,0.15037333333333333,0.15037333333333333,0.14483333333333331,0.8134333333333332,0.04186666666666666,9,4,5,0.8,57.51866666666666,0.0,0.025965000000000005,51.29825,0.5141213722958435,-0.7491674520632193,0.08506517597746169,54.253258798873084
2020-11-19,Healthcare,0.05620333333333334,0.05620333333333334,0.0403,0.9493666666666666,0.0104,8,4,5,0.8,52.81016666666667,0.0,0.15037333333333333,57.51866666666666,-0.4516096632050147,0.4012354586109432,0.079516763279049,53.975838163952446
2020-11-20,Healthcare,0.0351975,0.0351975,0.046675,0.940025,0.013325,13,4,5,0.8,51.759875,0.0,0.05620333333333334,52.81016666666667,-0.6670284290174652,-0.4706976457856808,0.08227159661238233,54.113579830619116
2020-11-23,Healthcare,0.18845852380952383,0.1924425238095238,0.1399757142857143,0.8538642857142857,0.0061600000000000005,20,5,5,1.0,59.42292619047619,-0.0039839999999999876,0.0351975,51.759875,0.9046921531795525,-0.6636921873837106,0.08978981203188346,54.48949060159417
2020-11-24,Healthcare,0.11991,0.047670000000000004,0.07070000000000001,0.9292999999999999,0.0,3,2,5,0.4,55.9955,0.07224,0.18845852380952383,59.42292619047619,0.20171416782724622,0.7590388983220697,0.09469706070913214,54.7348530354566
2020-11-25,Healthcare,0.04019,0.04019,0.0213,0.9786999999999999,0.0,6,4,5,0.8,52.009499999999996,0.0,0.11991,55.9955,-0.6158294039060918,0.12065084629322406,0.09292882941661514,54.64644147083076
2020-11-27,Healthcare,0.006296666666666661,-0.03129333333333334,0.0415,0.9007999999999999,0.057699999999999994,7,3,5,0.6,50.31483333333333,0.03759,0.04019,52.009499999999996,-0.9634119025423429,-0.6211839683042953,0.09245803576582148,54.622901788291074
2020-11-30,Healthcare,0.16828333333333334,0.16828333333333334,0.13873333333333332,0.8612666666666666,0.0,11,5,5,1.0,58.41416666666667,0.0,0.006296666666666661,50.31483333333333,0.6977917858651371,-0.933980795100761,0.09022901989280561,54.511450994640285
2020-12-01,Healthcare,0.04019,0.04019,0.0252,0.9747999999999999,0.0,5,3,5,0.6,52.009499999999996,0.0,0.16828333333333334,58.41416666666667,-0.6158294039060918,0.577984874384043,0.08982936621315193,54.491468310657595
2020-12-02,Healthcare,0.207675,0.207675,0.1397,0.8323499999999999,0.027950000000000003,12,4,5,0.8,60.383750000000006,0.0,0.04019,52.009499999999996,1.1017607254436084,-0.6188247494994754,0.09661743499622072,54.83087174981103
2020-12-03,Healthcare,0.12248999999999999,0.12248999999999999,0.0733,0.9267,0.0,3,2,5,0.4,56.1245,0.0,0.207675,60.383750000000006,0.22817255236151615,0.9466645635226113,0.09750375245653817,54.87518762282691
2020-12-04,Healthcare,0.06748833333333334,0.06748833333333334,0.04428333333333333,0.9557166666666668,0.0,8,3,5,0.6,53.37441666666667,0.0,0.12248999999999999,56.1245,-0.335879868837093,0.14796947094265217,0.09174806462585035,54.58740323129251
2020-12-07,Healthcare,-0.06024,-0.06024,0.039933333333333335,0.9028666666666666,0.057199999999999994,7,3,5,0.6,46.988,0.0,0.06748833333333334,53.37441666666667,-1.6457579150598691,-0.3677065707847136,0.086594731292517,54.329736564625854
2020-12-08,Healthcare,0.07071333333333334,0.10975333333333333,0.06393333333333333,0.9002666666666667,0.036,6,3,5,0.6,53.53566666666667,-0.03903999999999999,-0.06024,46.988,-0.30280688816925544,-1.5580856226580584,0.08795489002267574,54.397744501133786
2020-12-09,Healthcare,-0.04939,-0.04939,0.0,0.9738,0.0262,3,2,5,0.4,47.530499999999996,0.0,0.07071333333333334,53.53566666666667,-1.5344891273866788,-0.3289263589914875,0.07563377891156463,53.78168894557823
2020-12-10,Healthcare,0.06313500000000001,0.06313500000000001,0.05433333333333333,0.9456666666666667,0.0,12,4,5,0.8,53.156749999999995,0.0,-0.04939,47.530499999999996,-0.38052411974375544,-1.4481472405623557,0.06851658843537416,53.425829421768704
2020-12-11,Healthcare,0.301453,0.301453,0.20407000000000003,0.78769,0.00824,13,5,5,1.0,65.07265,0.0,0.06313500000000001,53.156749999999995,2.0634717273253065,-0.39215277670715193,0.08287149319727892,54.143574659863944
2020-12-14,Healthcare,0.187995,0.14211500000000002,0.14865,0.7908000000000001,0.060450000000000004,12,5,5,1.0,59.39975,0.045879999999999976,0.301453,65.07265,0.8999386294612691,1.829506571265247,0.09255268367346939,54.62763418367347
2020-12-15,Healthcare,0.22720666666666664,0.22720666666666664,0.13173333333333334,0.8518000000000001,0.016466666666666664,7,3,5,0.6,61.36033333333333,0.0,0.187995,59.39975,1.3020616352350236,0.7665657290553762,0.09520062018140589,54.760031009070296
2020-12-16,Healthcare,0.11327499999999999,0.11327499999999999,0.09559,0.8948499999999999,0.009559999999999999,9,2,5,0.4,55.66375,0.0,0.22720666666666664,61.36033333333333,0.1336709967478344,1.1280256001307374,0.09918423922902495,54.95921196145124
2020-12-17,Healthcare,0.05570533333333333,0.05570533333333333,0.07076666666666667,0.9001333333333333,0.029099999999999997,13,5,5,1.0,52.785266666666665,0.0,0.11327499999999999,55.66375,-0.4567167467313972,0.06277041713103916,0.1006004455782313,55.03002227891156
2020-12-18,Healthcare,0.17505,0.17505,0.11309999999999998,0.8869,0.0,4,3,5,0.6,58.7525,0.0,0.05570533333333333,52.785266666666665,0.7671852233387396,-0.47534504319040616,0.10177552494331066,55.088776247165534
2020-12-21,Healthcare,0.27162,0.27162,0.17919999999999997,0.7874,0.0334,6,5,5,1.0,63.580999999999996,0.0,0.17505,58.7525,1.7575287095691512,0.6425950299813559,0.11203346145124718,55.601673072562356
2020-12-22,Healthcare,0.048123999999999986,0.040535999999999996,0.07964,0.87586,0.04448,18,4,5,0.8,52.406200000000005,0.007587999999999991,0.27162,63.580999999999996,-0.5344647438693093,1.5391408458925853,0.11264900907029476,55.63245045351474
2020-12-23,Healthcare,0.053412222222222215,0.053412222222222215,0.04293333333333334,0.9517777777777777,0.005288888888888889,15,3,5,0.6,52.67061111111111,0.0,0.048123999999999986,52.406200000000005,-0.48023303183123645,-0.5530343045799846,0.1062182328042328,55.31091164021164
